deputado_url;eleito;votes;votes%;votes_by_city_url;img;nomeCompleto;desc;Nome na urna;Sexo;Idade;Data de nascimento;Ocupação;Grau de instrução;Estado Civil;Cor/Raça;Município de nascimento;Número;Situação da candidatura;Estado;Partido;Coligação;Composição
tom-black-20677;Não foi eleito;489;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-tom-black-20677/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/tom-black-20677.jpg;Neuton Bispo dos Santos;Casado(a),  Músico,       nascido  em 19/07/1985  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSC - Partido Social Cristão;Tom Black;Masculino;36 anos;19/07/1985;Músico;Ensino Médio completo;Casado(a);Preta;Salvador-BA;20677;Deferido;BAHIA;PSC - Partido Social Cristão;BAHIA LIVRE;PSC / PTB / PPL
jo-melo-51495;Não foi eleita;488;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-jo-melo-51495/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/jo-melo-51495.jpg;Josete de Melo dos Santos;Divorciado(a),        nascida  em 29/11/1961  em Salvador-BA,  candidata  a Deputada Estadual  na Bahia  pelo PATRI - Patriota;Jó Melo;Feminino;60 anos;29/11/1961;Outros;Ensino Médio completo;Divorciado(a);Parda;Salvador-BA;51495;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
edilson-rocha-43350;Não foi eleito;487;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-edilson-rocha-43350/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/edilson-rocha-43350.jpg;Edilson dos Santos Rocha;Casado(a),  Contador,       nascido  em 08/04/1960  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PV - Partido Verde;Edilson Rocha;Masculino;62 anos;08/04/1960;Contador;Superior completo;Casado(a);Preta;Salvador-BA;43350;Deferido;BAHIA;PV - Partido Verde;POR UMA BAHIA MELHOR;DEM / PRB / PV / PSDB
irmao-nery-vendedor-20066;Não foi eleito;481;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-irmao-nery-vendedor-20066/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/irmao-nery-vendedor-20066.jpg;Nerivaldo do Espirito Santo dos Santos;Casado(a),  Vendedor de Comércio Varejista e Atacadista,       nascido  em 03/08/1974  em Candeias-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSC - Partido Social Cristão;Irmão Nery Vendedor;Masculino;47 anos;03/08/1974;Vendedor de Comércio Varejista e Atacadista;Ensino Médio incompleto;Casado(a);Parda;Candeias-BA;20066;Deferido;BAHIA;PSC - Partido Social Cristão;BAHIA LIVRE;PSC / PTB / PPL
aldy-51001;Não foi eleita;477;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-aldy-51001/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/aldy-51001.jpg;Aldineide Almeida de Souza Santos;Casado(a),  Biólogo,       nascida  em 26/06/1968  em Salvador-BA,  candidata  a Deputada Estadual  na Bahia  pelo PATRI - Patriota;Aldy;Feminino;53 anos;26/06/1968;Biólogo;Superior completo;Casado(a);Parda;Salvador-BA;51001;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
valdice-freitas-51900;Não foi eleita;474;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-valdice-freitas-51900/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/valdice-freitas-51900.jpg;Valdice Duarte de Freitas;Solteiro(a),  Vendedor de Comércio Varejista e Atacadista,       nascida  em 26/07/1968  em Salvador-BA,  candidata  a Deputada Estadual  na Bahia  pelo PATRI - Patriota;Valdice Freitas;Feminino;53 anos;26/07/1968;Vendedor de Comércio Varejista e Atacadista;Ensino Médio completo;Solteiro(a);Parda;Salvador-BA;51900;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
alcides-50550;Não foi eleito;473;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-alcides-50550/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/alcides-50550.jpg;José Alcides Nascimento;Solteiro(a),  Servidor Público Municipal,       nascido  em 30/12/1968  em Jaguarari-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSOL - Partido Socialismo e Liberdade;Alcides;Masculino;53 anos;30/12/1968;Servidor Público Municipal;Ensino Médio completo;Solteiro(a);Branca;Jaguarari-BA;50550;Deferido;BAHIA;PSOL - Partido Socialismo e Liberdade;PSOL;**
nilton-da-resistencia-50987;Não foi eleito;473;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-nilton-da-resistencia-50987/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/nilton-da-resistencia-50987.jpg;Nilton Cesar dos Santos;Solteiro(a),  Professor de Ensino Fundamental,       nascido  em 17/04/1975  em Camaçari-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSOL - Partido Socialismo e Liberdade;Nilton da Resistencia;Masculino;47 anos;17/04/1975;Professor de Ensino Fundamental;Superior completo;Solteiro(a);Preta;Camaçari-BA;50987;Deferido;BAHIA;PSOL - Partido Socialismo e Liberdade;PSOL;**
be-magalhaes-50055;Não foi eleito;458;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-be-magalhaes-50055/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/be-magalhaes-50055.jpg;Antonildo Meireles Magalhães;Divorciado(a),  Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados,       nascido  em 01/05/1979  em Itabuna-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSOL - Partido Socialismo e Liberdade;Be Magalhaes;Masculino;42 anos;01/05/1979;Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;Lê e escreve;Divorciado(a);Parda;Itabuna-BA;50055;Deferido;BAHIA;PSOL - Partido Socialismo e Liberdade;PSOL;**
andre-moreno-31331;Não foi eleito;454;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-andre-moreno-31331/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/andre-moreno-31331.jpg;Andre Luiz Oliveira dos Santos;Solteiro(a),        nascido  em 12/03/1979  em Feira de Santana-BA,  candidato  a Deputado Estadual  na Bahia  pelo PHS - Partido Humanista da Solidariedade;André Moreno;Masculino;43 anos;12/03/1979;Outros;Ensino Fundamental completo;Solteiro(a);Preta;Feira de Santana-BA;31331;Deferido;BAHIA;PHS - Partido Humanista da Solidariedade;RENOVA BAHIA;PHS / PPS / PRTB / PSL
