BensDeclarados;nr_candidato
R$ 0,00;36022
R$ 90.400,00;77222
R$ 10.000,00;20127
R$ 0,00;20001
R$ 0,00;17221
R$ 0,00;31005
R$ 0,00;36800
R$ 6.576.431,00;11555
R$ 0,00;31333
R$ 775.248,00;18963
R$ 10.000,00;51177
R$ 0,00;27277
R$ 318.315,00;13690
R$ 549.000,00;15555
R$ 0,00;31393
R$ 200.000,00;11777
R$ 0,00;50987
R$ 680.000,00;11666
R$ 0,00;36111
R$ 0,00;25201
R$ 0,00;36457
R$ 160.000,00;28999
R$ 411.425,00;65500
R$ 378.753,00;13013
R$ 0,00;33500
R$ 150.000,00;77345
R$ 641.107,00;51111
R$ 1.860.649,00;25678
R$ 178.000,00;51451
R$ 947.000,00;20100
R$ 20.000,00;51555
R$ 273.900,00;20200
R$ 972.950,00;51999
R$ 653.200,00;51123
R$ 446.000,00;55123
R$ 330.000,00;15456
R$ 0,00;77022
R$ 20.000,00;28000
R$ 0,00;31311
R$ 35.512,00;14690
R$ 0,00;50060
R$ 150.000,00;44777
R$ 28.288,00;65111
R$ 922.617,00;45500
R$ 0,00;20150
R$ 833.640,00;13113
R$ 0,00;36190
R$ 233.000,00;43192
R$ 50.000,00;18333
R$ 0,00;27027
R$ 292.463,00;10444
R$ 571.840,00;25000
R$ 750.000,00;51456
R$ 0,00;31345
R$ 0,00;31888
R$ 576.000,00;51888
R$ 0,00;20888
R$ 70.000,00;51316
R$ 65.500,00;51200
R$ 0,00;33036
R$ 0,00;15679
R$ 30.000,00;50111
R$ 79.067,00;25070
R$ 350.000,00;50322
R$ 335.000,00;50250
R$ 600.000,00;50700
R$ 0,00;50100
R$ 0,00;36222
R$ 0,00;36010
R$ 0,00;43444
R$ 0,00;27533
R$ 0,00;31123
R$ 315.000,00;50500
R$ 600.000,00;17111
R$ 210.000,00;50245
R$ 886.727,00;65213
R$ 109.635,00;65165
R$ 870.000,00;18885
R$ 0,00;36212
R$ 787.903,00;65678
R$ 3.360.000,00;11333
R$ 175.000,00;65999
R$ 19.500,00;51202
R$ 0,00;15665
R$ 15.000,00;10222
R$ 0,00;25009
R$ 225.000,00;13050
R$ 55.020,00;14555
R$ 1.141.317,00;19073
R$ 19.000,00;27012
R$ 0,00;36936
R$ 0,00;31180
R$ 20.078.357,00;12333
R$ 0,00;20658
R$ 30.000,00;15715
R$ 0,00;90001
R$ 51.000,00;51690
R$ 0,00;31720
R$ 13.093.262,00;22222
R$ 63.339,00;36400
R$ 965.956,00;17038
R$ 5.691,00;51567
R$ 0,00;51800
R$ 659.000,00;51015
R$ 0,00;28888
R$ 465.100,00;65755
R$ 700.000,00;18122
R$ 630.979,00;11234
R$ 1.620.056,00;12345
R$ 730.000,00;40222
R$ 809.529,00;23222
R$ 5.945.845,00;11444
R$ 651.464,00;13500
R$ 209.900,00;51515
R$ 10.000,00;44630
R$ 0,00;36333
R$ 68.011,00;51678
R$ 0,00;55444
R$ 45.875,00;65101
R$ 0,00;27123
R$ 128.000,00;17222
R$ 0,00;50077
R$ 162.000,00;25525
R$ 1.502.580,00;13444
R$ 553.000,00;51444
R$ 125.000,00;13333
R$ 1.680.000,00;51234
R$ 0,00;36100
R$ 0,00;40500
R$ 197.088,00;43111
R$ 0,00;36444
R$ 788.549,00;12133
R$ 3.800,00;15678
R$ 500.000,00;15015
R$ 112.500,00;28123
R$ 1.356.447,00;25555
R$ 0,00;15151
R$ 800.000,00;17000
R$ 0,00;90000
R$ 0,00;36127
R$ 531.640,00;25255
R$ 0,00;13331
R$ 406.500,00;20123
R$ 0,00;36336
R$ 2.469.571,00;40111
R$ 0,00;43789
R$ 0,00;31670
R$ 0,00;51233
R$ 0,00;36008
R$ 10.000,00;65666
R$ 0,00;27332
R$ 0,00;51197
R$ 20.000,00;45045
R$ 110.000,00;23190
R$ 685.513,00;20190
R$ 0,00;36006
R$ 0,00;54888
R$ 50.000,00;65411
R$ 143.000,00;17001
R$ 0,00;11567
R$ 400.000,00;45050
R$ 6.590.297,00;22456
R$ 0,00;17543
R$ 295.652,00;14000
R$ 0,00;17123
R$ 0,00;50056
R$ 0,00;43999
R$ 2.519.933,00;25170
R$ 4.210.053,00;25456
R$ 0,00;54654
R$ 0,00;36130
R$ 0,00;14333
R$ 1.040.000,00;36360
R$ 147.740,00;65511
R$ 0,00;20115
R$ 0,00;13817
R$ 45.000,00;54789
R$ 65.000,00;51801
R$ 0,00;36669
R$ 0,00;20800
R$ 100.000,00;20320
R$ 50.000,00;19200
R$ 1.909.000,00;15333
R$ 2.750.624,00;45556
R$ 29.500,00;65777
R$ 0,00;15007
R$ 2.735.631,00;25161
R$ 35.000,00;20677
R$ 168.871,00;17177
R$ 14.000,00;28111
R$ 110.000,00;10595
R$ 0,00;28880
R$ 562.757,00;25123
R$ 1.603.694,00;20121
R$ 0,00;65233
R$ 0,00;36689
R$ 399.502,00;65029
R$ 1.284.000,00;11123
R$ 0,00;54001
R$ 150.000,00;27456
R$ 0,00;36044
R$ 0,00;27026
R$ 5.630,00;51900
R$ 142.000,00;12888
R$ 0,00;51077
R$ 30.000,00;27555
R$ 245.900,00;65000
R$ 135.000,00;28887
R$ 105.000,00;50321
R$ 0,00;31300
R$ 35.000,00;50789
R$ 0,00;51006
R$ 315.000,00;44111
R$ 45.000,00;36120
R$ 59.000,00;50345
R$ 0,00;36018
R$ 1.372.029,00;22700
R$ 706.952,00;77007
R$ 10.000,00;51212
R$ 0,00;31777
R$ 1.733,00;18222
